1	0	.142108
2	0	.1506
3	0	.080972
4	0	.867328
5	0	.017236
7	0	.13376
8	0	.469088
9	0	.187824
10	0	.042628
11	0	.02558
12	0	1.149952
13	0	.056092
15	0	.064948
16	0	1.016532
17	0	.033924
18	0	.008892
25	0	.04536
30	0	.026776
31	0	.08002
33	0	.018432
37	0	.010088
38	0	.15748
45	0	.054236
50	0	.149252
51	.000112	.763724
53	0	.211772
57	0	.062448
62	0	.041244
65	0	.058804
69	0	.031876
77	0	.014164
82	0	.025088
89	0	.016232
90	0	.302024
97	0	1.741356
98	0	.381628
102	0	.055548
109	0	.146092
113	0	.16316
121	0	.03298
122	0	.05788
141	0	.012144
142	0	.024716
148	0	.0433
161	0	.047952
162	0	.035664
168	0	.026808
173	0	.016928
181	0	.042724
182	0	.03438
188	0	.015644
193	0	.025012
201	0	.017616
202	0	.037736
208	0	.00876
213	0	.0512
218	0	.028008
221	0	.033136
222	0	.012864
233	0	.107692
238	0	.022744
241	0	.016048
242	0	.578772
258	0	.04832
261	0	1.356876
273	0	.456604
316	0	.026308
336	0	.37088
352	0	.087036
366	0	.016024
386	0	.087304
392	0	.010216
402	0	.016156
406	.007396	.017104
412	0	.03694
422	0	.021176
426	0	.030544
432	0	.012832
442	0	.265276
503	0	.008116
522	0	.023064
698	0	.011144
852	0	.008116
872	0	1.412692
925	5.829276	.009916
945	5.759284	.008252
1175	5.041908	.008764
1195	4.970764	.008764
1207	0	.008116
1222	5.105492	.008764
1343	4.16776	.008116
1363	4.095968	.008252
1383	4.024312	.008764
1403	3.953168	.008764
1423	3.882024	.008764
1443	3.81088	.008252
1463	3.739224	.008252
1483	3.667568	.008764
1492	3.5808	.008252
1503	3.596424	.008252
1523	3.524768	.008116
1543	3.452976	.008764
1563	3.381832	.008764
1583	3.310688	.008252
1603	3.239032	.008764
1623	3.167888	.008252
1643	3.096232	.008252
1663	3.024576	.008252
1679	3.136316	.008116
1683	2.95292	.035084
1699	3.064524	.008252
1719	2.992868	.008384
1739	2.921344	.008252
1759	2.849688	.008764
1779	2.778544	.008252
1799	2.706888	.008252
1819	2.635232	.008116
1839	2.56344	.008116
1859	2.491648	.008252
1879	2.419992	.008252
1899	2.348336	.008252
1919	2.27668	.008252
1939	2.205024	.008252
1959	2.133368	.008116
1979	2.061576	.008252
1999	1.98992	.008764
2019	1.918776	.008252
2039	1.84712	.008116
2059	1.775328	.008116
2068	1.373108	.103824
2079	1.703536	.008764
2088	1.397024	.008252
2099	1.632392	.008116
2108	1.325368	.008252
2119	1.5606	.008252
2128	1.253712	.008764
2139	1.488944	.008116
2148	1.182568	.008252
2159	1.417152	.008116
2168	1.110912	.008116
2188	1.03912	.008764
2208	.967976	.008116
